year,Amazon,Apple,Facebook,Google,Microsoft,Oracle,Cisco,IBM,Intel,Salesforce
0,157692,180005,193584,180628,165884,180448,124310,105489,125714,177379
1,162072,186406,202324,188424,161055,178093,140737,112089,129600,183226
2,186137,211409,248441,219436,171501,183317,142878,115222,130000,193130
3,201569,250261,282971,243292,176383,191000,156438,117045,135414,201429
4,214804,261207,309879,263927,184892,202113,167508,132576,141926,239481
5,222636,266711,342937,283231,189243,218195,187738,124538,151909,250757
6,243112,285623,394303,296355,207615,251338,184538,143656,161000,254359
7,246158,291189,375513,338177,206245,245500,191417,132455,158250,236925
8,261065,322759,403378,348619,222654,298750,207914,152647,175971,266565
9,261820,314026,450730,342931,225884,276154,192350,224000,186917,305423